"StorageAccountName","ResourceGroupName","Location","Kind","SkuName","AccessTier","Tags"
"astroductiondiag","AZEastUSProductionDMZ","eastus","StorageV2","Standard_LRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"azctxstorage","AZCTXStorage","eastus","StorageV2","Premium_LRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"azeastfileshares","AzSystemsEastUS","eastus","StorageV2","Standard_LRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"azeastfilesharesv2","AzSystemsEastUS","eastus","StorageV2","Standard_LRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"azeastfilesharesv3","AzSystemsEastUS","eastus","StorageV2","Standard_LRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"azsqlbackupseast01","azureeastappsg1","eastus","StorageV2","Standard_LRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"azurebatchprintuat","AzEastUSProduction","eastus","StorageV2","Standard_LRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"azureeastcitrix","AzureEastFileShares","eastus","StorageV2","Standard_LRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"azureeastdiagnostics","AzureEastDiagnostics","eastus","StorageV2","Standard_LRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"bpodevb9c4","BPO_DEV","eastus","StorageV2","Standard_LRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"cashline","CashLine-SFTP","eastus","StorageV2","Standard_LRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"citrixcloudconnectrbi","AZCTXSrvs","eastus","StorageV2","Standard_RAGRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"citrixfslogix","AzEastUSProduction","eastus","StorageV2","Standard_LRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"citrixxd6tmx2kg77iddq97n","citrix-xd-19cc02cd-1173-448a-a8fc-4fd17dca253b-oi46p","eastus","StorageV2","Standard_LRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"citrixxdb2ag9alkzejgow60","citrix-xd-c65e9d43-0e33-42c2-9dbd-d431537d4f2b-lwnzm","eastus","StorageV2","Standard_LRS","Cool","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"citrixxdz3clients","AZCTXClts","eastus","StorageV2","Standard_LRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"citrixxdz3rciu62nreg0zpt","AZCTXSrvs","eastus","StorageV2","Premium_LRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"idc2ctxunidesk4diagstore","IDC2CTXUnidesk4-group","eastus","StorageV2","Standard_LRS","Cool","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"idc2ctxunidesk4store","IDC2CTXUnidesk4-group","eastus","StorageV2","Premium_LRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"marketingazfileshares","AzSystemsEastUS","eastus","StorageV2","Standard_LRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"migratersa288157062","AzEastUSProduction","eastus","StorageV2","Standard_LRS","Cool","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"onpremidcsqlbackupdata","AzureBackupRG_eastus_1","eastus","StorageV2","Standard_RAGRS","Cool","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"prod2019sqlwitness","AzEastUSProduction","eastus","StorageV2","Standard_LRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"rubrikrestoredbtest","RG-Rubrik-RestoreTest-EastUS","eastus","StorageV2","Standard_LRS","Cool","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"rubrikultbackupsqa2eaaau","Rubrik_RG","eastus","StorageV2","Standard_LRS","Cool","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"rubrikultblobbkpxadezetc","Rubrik_RG","eastus","StorageV2","Standard_LRS","Cool","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"rubrikultsqlbkp0i8w4op9","Rubrik_RG","eastus","StorageV2","Standard_LRS","Cool","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"sql2016cloudwit","AzEastUSProduction","eastus","FileStorage","Premium_LRS",,"System.Collections.Generic.Dictionary`2[System.String,System.String]"
"sqlvan37cawtrtavnw","AzSystemsEastJA","eastus","StorageV2","Standard_LRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"stgsqlwitness","AzEastUSProduction","eastus","StorageV2","Standard_LRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"swflowlogs1","AzEastUSProduction","eastus","StorageV2","Standard_LRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"swworkbooks","LA-WS-RG","eastus","StorageV2","Standard_RAGRS","Cool","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"uconnect","B2CWeb","eastus","StorageV2","Standard_RAGRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"uconnectazeustorage","AzEUSAppProd_1","eastus","StorageV2","Standard_LRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"ulterraa2z","AzSystemsEastUS","eastus","StorageV2","Standard_ZRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"ulterraa2za","AzSystemsEastUS","eastus","StorageV2","Standard_ZRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"ulterraptensftp","AzEastSFTP","eastus","StorageV2","Standard_RAGRS","Cool","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"veeamo365ulterra","AzureEastBRS","eastus","StorageV2","Standard_RAGRS","Cool","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"yx1nlquateasttasrcache","UAT-CENTRALUS-ASR","eastus","StorageV2","Standard_LRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"zastroductiondiag","AzEastUSProduction","eastus","StorageV2","Standard_LRS","Cool","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"azcloudfiles","azcloudfilesgroup","westus","StorageV2","Standard_RAGRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"angularstorage","azcendevangular","southcentralus","StorageV2","Standard_LRS","Cool","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"cs755e6995b7646x44c3x882","cloud-shell-storage-southcentralus","southcentralus","StorageV2","Standard_LRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"rubrikultbackupsb3ktzlw9","Rubrik_RG","southcentralus","StorageV2","Standard_LRS","Cool","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"scusmktgdisksa132481765","AzSCUSProdVNET","southcentralus","StorageV2","Standard_LRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"scusmktgdisksa1765034020","AzSCUSProdVNET","southcentralus","StorageV2","Standard_LRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"scusmktgdisksa1903462546","AzSCUSProdVNET","southcentralus","StorageV2","Standard_LRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
"scusmktgmigr1261011107","AzSCUSProdVNET","southcentralus","StorageV2","Standard_LRS","Hot","System.Collections.Generic.Dictionary`2[System.String,System.String]"
